Symbol,Type
AAPL,most-watched
MSFT,most-watched
GOOG,most-watched
AMZN,most-watched
NVDA,most-watched
TSLA,most-watched
META,most-watched
JNJ,most-watched
XOM,most-watched
WMT,most-watched
JPM,most-watched
PG,most-watched
HD,most-watched
KO,most-watched
BABA,most-watched
BAC,most-watched
PFE,most-watched
MCD,most-watched
CSCO,most-watched
AMD,most-watched
NFLX,most-watched
DIS,most-watched
VZ,most-watched
INTC,most-watched
BA,most-watched
IBM,most-watched
GE,most-watched
T,most-watched
C,most-watched
F,most-watched
MSFT,cash-rich-companies-stocks
GOOGL,cash-rich-companies-stocks
GOOG,cash-rich-companies-stocks
META,cash-rich-companies-stocks
TSM,cash-rich-companies-stocks
TCEHY,cash-rich-companies-stocks
BABA,cash-rich-companies-stocks
MS,cash-rich-companies-stocks
SHECY,cash-rich-companies-stocks
AMGN,cash-rich-companies-stocks
GS,cash-rich-companies-stocks
MPNGY,cash-rich-companies-stocks
PDD,cash-rich-companies-stocks
EQNR,cash-rich-companies-stocks
NTES,cash-rich-companies-stocks
RCRUY,cash-rich-companies-stocks
NTDOY,cash-rich-companies-stocks
BIDU,cash-rich-companies-stocks
FANUY,cash-rich-companies-stocks
MFC,cash-rich-companies-stocks
LI,cash-rich-companies-stocks
SLF,cash-rich-companies-stocks
GMAB,cash-rich-companies-stocks
UMC,cash-rich-companies-stocks
BEKE,cash-rich-companies-stocks
SCGLY,cash-rich-companies-stocks
XP,cash-rich-companies-stocks
YMM,cash-rich-companies-stocks
ATHM,cash-rich-companies-stocks
TV,cash-rich-companies-stocks
NVDA,semiconductor-stocks
TSM,semiconductor-stocks
AVGO,semiconductor-stocks
ASML,semiconductor-stocks
AMD,semiconductor-stocks
TXN,semiconductor-stocks
INTC,semiconductor-stocks
QCOM,semiconductor-stocks
AMAT,semiconductor-stocks
ADI,semiconductor-stocks
LRCX,semiconductor-stocks
MU,semiconductor-stocks
KLAC,semiconductor-stocks
MRVL,semiconductor-stocks
NXPI,semiconductor-stocks
APH,semiconductor-stocks
MCHP,semiconductor-stocks
STM,semiconductor-stocks
TEL,semiconductor-stocks
ON,semiconductor-stocks
GFS,semiconductor-stocks
GLW,semiconductor-stocks
KEYS,semiconductor-stocks
FTV,semiconductor-stocks
MPWR,semiconductor-stocks
UMC,semiconductor-stocks
GRMN,semiconductor-stocks
TDY,semiconductor-stocks
ASX,semiconductor-stocks
SWKS,semiconductor-stocks
ABBV,420_stocks
BUD,420_stocks
MO,420_stocks
TAP,420_stocks
SMG,420_stocks
TLRY,420_stocks
CRON,420_stocks
WEED.TO,420_stocks
CGC,420_stocks
ACB,420_stocks
CRBP,420_stocks
CANN,420_stocks
MJ,420_stocks
HD,romance-industry
NFLX,romance-industry
MAR,romance-industry
HSY,romance-industry
DRI,romance-industry
MTCH,romance-industry
AMC,romance-industry
SIG,romance-industry
RUTH,romance-industry
FLWS,romance-industry
PG,new-family-economy
HD,new-family-economy
COST,new-family-economy
VZ,new-family-economy
LOW,new-family-economy
F,new-family-economy
GM,new-family-economy
GIS,new-family-economy
WSM,new-family-economy
TPX,new-family-economy
KBH,new-family-economy
NWL,new-family-economy
BBBY,new-family-economy
NKE,healthy-living
DXCM,healthy-living
LULU,healthy-living
DKS,healthy-living
UA,healthy-living
FL,healthy-living
HLF,healthy-living
MED,healthy-living
FIT,healthy-living
^GSPC,world-indices
^DJI,world-indices
^IXIC,world-indices
^NYA,world-indices
^XAX,world-indices
^BUK100P,world-indices
^RUT,world-indices
^VIX,world-indices
^FTSE,world-indices
^GDAXI,world-indices
^FCHI,world-indices
^STOXX50E,world-indices
^N100,world-indices
^BFX,world-indices
IMOEX.ME,world-indices
^N225,world-indices
^HSI,world-indices
000001.SS,world-indices
399001.SZ,world-indices
^STI,world-indices
^AXJO,world-indices
^AORD,world-indices
^BSESN,world-indices
^JKSE,world-indices
^KLSE,world-indices
^NZ50,world-indices
^KS11,world-indices
^TWII,world-indices
^GSPTSE,world-indices
^BVSP,world-indices
^MXX,world-indices
^IPSA,world-indices
^MERV,world-indices
