Symbol,Type
AAPL,most-watched
MSFT,most-watched
GOOG,most-watched
AMZN,most-watched
NVDA,most-watched
TSLA,most-watched
META,most-watched
XOM,most-watched
WMT,most-watched
JPM,most-watched
JNJ,most-watched
PG,most-watched
HD,most-watched
KO,most-watched
BABA,most-watched
CSCO,most-watched
BAC,most-watched
MCD,most-watched
NFLX,most-watched
PFE,most-watched
AMD,most-watched
INTC,most-watched
DIS,most-watched
VZ,most-watched
IBM,most-watched
BA,most-watched
GE,most-watched
T,most-watched
C,most-watched
F,most-watched
HD,romance-industry
NFLX,romance-industry
MAR,romance-industry
HSY,romance-industry
DRI,romance-industry
MTCH,romance-industry
SIG,romance-industry
AMC,romance-industry
FLWS,romance-industry
TIF,romance-industry
LB,romance-industry
RUTH,romance-industry
JNJ,the-fight-against-covid19
ABBV,the-fight-against-covid19
PFE,the-fight-against-covid19
SNY,the-fight-against-covid19
GILD,the-fight-against-covid19
REGN,the-fight-against-covid19
GSK,the-fight-against-covid19
TAK,the-fight-against-covid19
MRNA,the-fight-against-covid19
BNTX,the-fight-against-covid19
VIR,the-fight-against-covid19
NVAX,the-fight-against-covid19
INO,the-fight-against-covid19
PM,sinful-stocks
BUD,sinful-stocks
DEO,sinful-stocks
MO,sinful-stocks
STZ,sinful-stocks
LVS,sinful-stocks
MGM,sinful-stocks
TAP,sinful-stocks
WYNN,sinful-stocks
BYD,sinful-stocks
SAM,sinful-stocks
PENN,sinful-stocks
RRR,sinful-stocks
RICK,sinful-stocks
NKE,healthy-living
LULU,healthy-living
DXCM,healthy-living
DKS,healthy-living
UA,healthy-living
FL,healthy-living
HLF,healthy-living
MED,healthy-living
GNC,healthy-living
FIT,healthy-living
ES=F,commodities
YM=F,commodities
NQ=F,commodities
RTY=F,commodities
ZB=F,commodities
ZN=F,commodities
ZF=F,commodities
ZT=F,commodities
GC=F,commodities
MGC=F,commodities
SI=F,commodities
SIL=F,commodities
PL=F,commodities
HG=F,commodities
PA=F,commodities
CL=F,commodities
HO=F,commodities
NG=F,commodities
RB=F,commodities
BZ=F,commodities
B0=F,commodities
ZC=F,commodities
ZO=F,commodities
KE=F,commodities
ZR=F,commodities
ZM=F,commodities
ZL=F,commodities
ZS=F,commodities
GF=F,commodities
HE=F,commodities
LE=F,commodities
CC=F,commodities
KC=F,commodities
CT=F,commodities
LBS=F,commodities
OJ=F,commodities
SB=F,commodities
AAPL,brands-consumers-love
GOOG,brands-consumers-love
AMZN,brands-consumers-love
TSLA,brands-consumers-love
META,brands-consumers-love
V,brands-consumers-love
MA,brands-consumers-love
JNJ,brands-consumers-love
KO,brands-consumers-love
NFLX,brands-consumers-love
WFC,brands-consumers-love
DIS,brands-consumers-love
SBUX,brands-consumers-love
PYPL,brands-consumers-love
CMG,brands-consumers-love
EA,brands-consumers-love
SAM,brands-consumers-love
JWN,brands-consumers-love
GOOGL,cash-rich-companies-stocks
GOOG,cash-rich-companies-stocks
META,cash-rich-companies-stocks
TSM,cash-rich-companies-stocks
BABA,cash-rich-companies-stocks
PROSY,cash-rich-companies-stocks
MS,cash-rich-companies-stocks
AMGN,cash-rich-companies-stocks
PDD,cash-rich-companies-stocks
GS,cash-rich-companies-stocks
NTES,cash-rich-companies-stocks
SHECY,cash-rich-companies-stocks
RCRUY,cash-rich-companies-stocks
NTDOY,cash-rich-companies-stocks
CHGCY,cash-rich-companies-stocks
BIDU,cash-rich-companies-stocks
LI,cash-rich-companies-stocks
MFC,cash-rich-companies-stocks
BNTX,cash-rich-companies-stocks
SLF,cash-rich-companies-stocks
WIT,cash-rich-companies-stocks
FANUY,cash-rich-companies-stocks
GMAB,cash-rich-companies-stocks
BEKE,cash-rich-companies-stocks
SCGLY,cash-rich-companies-stocks
UMC,cash-rich-companies-stocks
XP,cash-rich-companies-stocks
TME,cash-rich-companies-stocks
YMM,cash-rich-companies-stocks
ATHM,cash-rich-companies-stocks
CSCO,stocks-fueling-internet-of-things
SWKS,stocks-fueling-internet-of-things
UA,stocks-fueling-internet-of-things
AMBA,stocks-fueling-internet-of-things
